UsedName;Pmean;Symbiont;Authors;Year;Title;Journal;study.ID;selected
Lobophytum pauciflorum;22.9;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;
Sarcophyton trocheliophorum;27.5;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Sinularia densa;20.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Sinularia hirta;19;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;
Sinularia sp.;25;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Capnella sp.;6;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Lemnalia rhabdota;33.6;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Litophyton arboreum;69.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Paralemnalia clavata;40.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Paralemnalia digitiformis;37.1;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;
Xenia elongata;25;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Isis hippuris;28.2;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Hicksonella princeps;50;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Rumphella aggregata;27.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Tubipora musica;7.9;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Litophyton arboreum;878.1;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;
Heteroxenia fuscescens;843;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;1
Heteroxenia ghardaqensis;878.1;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;1
Ovabunda macrospiculata;843;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;
